Unique Key,InitDate,Descriptor,Zip,Address,Cross Street 1,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location
33750100,7/4/16 0:00,Rat Sighting,10016,,,MANHATTAN,988394,211711,40.74777339,-73.98504415,"(40.74777338900753, -73.98504414554924)"
33750945,7/4/16 0:00,Rat Sighting,10036,577-599 7TH AVE,,MANHATTAN,987824,214651,40.75584319,-73.98709973,"(40.75584319373855, -73.98709973471439)"
33753247,7/4/16 0:00,Rat Sighting,11373,79-00 QUEENS BOULEVARD,BARNWELL AVENUE,QUEENS,1016206,208224,40.73814568,-73.88468621,"(40.73814568330009, -73.88468620625906)"
33753287,7/5/16 0:00,Rat Sighting,10018,47 WEST   40 STREET,5 AVENUE,MANHATTAN,988860,213562,40.75285369,-73.98336106,"(40.75285368598425, -73.98336106485303)"
33754023,7/4/16 0:00,Rat Sighting,10462,,,BRONX,1022756,243016,40.83361421,-73.86085102,"(40.833614211099764, -73.86085101798034)"
33755824,7/4/16 0:00,Rat Sighting,11206,124 GRAHAM AVENUE,MC KIBBIN STREET,BROOKLYN,1000080,196340,40.70557055,-73.94290509,"(40.70557054668325, -73.94290508994219)"
33755825,7/4/16 0:00,Rat Sighting,10016,,,MANHATTAN,990690,210145,40.74347374,-73.97675929,"(40.7434737375789, -73.97675929356365)"
33756464,7/4/16 0:00,Rat Sighting,11206,90 LEWIS AVENUE,HART STREET,BROOKLYN,1001629,192261,40.69437174,-73.93732876,"(40.69437174091496, -73.93732875601066)"
33756701,7/4/16 0:00,Rat Sighting,10128,1324 LEXINGTON AVENUE,EAST 88 STREET,MANHATTAN,996851,223818,40.78099597,-73.95449982,"(40.78099596751242, -73.95449981675648)"
33758562,7/5/16 0:00,Rat Sighting,10128,1185 PARK AVENUE,EAST 93 STREET,MANHATTAN,997044,225210,40.78481636,-73.95380027,"(40.78481635981876, -73.95380027402398)"
33758565,7/5/16 0:00,Rat Sighting,10016,246 EAST   32 STREET,3 AVENUE,MANHATTAN,990357,210326,40.74397077,-73.97796086,"(40.743970773565025, -73.97796086135106)"
33758628,7/5/16 0:00,Rat Sighting,10021,254 EAST   74 STREET,3 AVENUE,MANHATTAN,995759,220012,40.77055099,-73.95844937,"(40.77055098810869, -73.95844937115872)"
33758633,7/5/16 0:00,Rat Sighting,10473,1600 BRUCKNER BOULEVARD,BRUCKNER EXPRESSWAY EXIT 52 EB,BRONX,1018955,239468,40.82389173,-73.87460501,"(40.823891729963876, -73.87460501080812)"
33758667,7/5/16 0:00,Rat Sighting,11205,380 MYRTLE AVENUE,ADELPHI STREET,BROOKLYN,992288,191818,40.69316922,-73.97101431,"(40.693169222170496, -73.97101430807716)"
33758671,7/5/16 0:00,Rat Sighting,11226,230 EAST   21 STREET,KENMORE TERRACE,BROOKLYN,995427,175668,40.64883768,-73.95972159,"(40.64883768487251, -73.95972159490935)"
33759573,7/5/16 0:00,Rat Sighting,10027,RIVERSIDE DRIVE,,MANHATTAN,995760,238261,40.82063954,-73.95841448,"(40.820639536471155, -73.9584144834771)"
33759575,7/5/16 0:00,Rat Sighting,11215,723 5 AVENUE,22 STREET,BROOKLYN,985779,179844,40.66030681,-73.99448902,"(40.6603068134159, -73.99448901603871)"
33759654,7/5/16 0:00,Rat Sighting,11211,168 SOUTH 4TH STREET,,BROOKLYN,994971,198353,40.71110342,-73.96132879,"(40.71110341989358, -73.96132878608549)"
33759661,7/5/16 0:00,Rat Sighting,11213,,,BROOKLYN,999587,184192,40.67222795,-73.94471087,"(40.67222795382551, -73.94471087380683)"
33759662,7/5/16 0:00,Rat Sighting,11221,704 LEXINGTON AVENUE,STUYVESANT AVENUE,BROOKLYN,1003279,190639,40.68991633,-73.9313832,"(40.68991633286875, -73.93138319612072)"
33759663,7/5/16 0:00,Rat Sighting,10034,541 WEST  204 STREET,NAGLE AVENUE,MANHATTAN,1006112,253950,40.86368168,-73.92096168,"(40.86368168466244, -73.92096167930647)"
33759664,7/5/16 0:00,Rat Sighting,10026,WEST 114 STREET,ADAM CLAYTON POWELL JR BOULEVARD,MANHATTAN,,,,,
33759725,7/5/16 0:00,Rat Sighting,11207,528 SNEDIKER AVENUE,,BROOKLYN,1012175,180439,40.66189605,-73.89934733,"(40.66189605340172, -73.89934733333261)"
33759726,7/5/16 0:00,Rat Sighting,10457,1748 WEEKS AVENUE,,BRONX,1009914,247335,40.84551526,-73.90724153,"(40.84551525722634, -73.90724153278542)"
33759727,7/5/16 0:00,Rat Sighting,11215,305 11 STREET,4 AVENUE,BROOKLYN,987554,182781,40.66836774,-73.98808993,"(40.668367742945925, -73.98808993355138)"
33760648,7/5/16 0:00,Rat Sighting,10457,1938 WEBSTER AVENUE,,BRONX,1011894,248457,40.84858884,-73.90008052,"(40.848588838117095, -73.90008051631852)"
33760649,7/5/16 0:00,Rat Sighting,10462,2081 WALLACE AVENUE,BRADY AVENUE,BRONX,1021631,250007,40.85280727,-73.86487745,"(40.85280727058335, -73.86487744976048)"
